id,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT,Sample
9007,s04_1335_1555,s08_n33_n26,s13_n20_n6,s09_717_877,5,2002,s11_2255_2400,s4_30_40,Passenger Car,s07_60_70,Deployed,s3_170_180,3,Female,s2_70_100,s05_151_159,272,195,s2_4_5,1
9026,s03_1035_1335,s11_n10_0,s12_n28_n20,s05_290_366,4,2000,s06_1455_1575,s5_40_50,Passenger Car,s05_40_50,Deployed,s1_below_165,3,Female,s1_below_70,s04_145_151,251,155,s1_below_4,1
9044,s04_1335_1555,s10_n16_n10,s12_n28_n20,s09_717_877,2,2004,s12_2400_2535,s5_40_50,Passenger Car,s02_10_20,Deployed,s4_180_up,3,Male,s1_below_70,s05_151_159,266,165,s2_4_5,1
9056,s04_1335_1555,s11_n10_0,s12_n28_n20,s06_366_468,3,2005,s04_1135_1335,s5_40_50,Truck (<=6000 lbs.),s04_30_40,Deployed,s3_170_180,3,Female,s2_70_100,s04_145_151,262,155,s1_below_4,1
9097,s04_1335_1555,s14_13_17,s09_n54_n48,s13_1833_2554,5,2003,s06_1455_1575,s6_50_60,Passenger Car,s05_40_50,Deployed,s4_180_up,3,Male,s2_70_100,s05_151_159,280,125,s2_4_5,1
9174,s04_1335_1555,s15_17_25,s13_n20_n6,s13_1833_2554,2,2000,s18_3310_3675,s6_50_60,Truck (<=6000 lbs.),s02_10_20,Not Deployed,s4_180_up,3,Male,s2_70_100,s02_136_141,275,105,s1_below_4,1
9223,s04_1335_1555,s16_25_31,s12_n28_n20,s09_717_877,2,2007,s09_1855_2075,s5_40_50,Passenger Car,s03_20_30,Not Deployed,s2_165_170,3,Female,s1_below_70,s04_145_151,258,85,s1_below_4,1
9305,s08_2075_2210,s13_3_13,s13_n20_n6,s07_468_577,3,2006,s16_2955_3205,s4_30_40,Truck (<=10000 lbs.),s05_40_50,Deployed,s3_170_180,3,Male,s2_70_100,s07_163_169,364,135,s4_6_7,1
9344,s04_1335_1555,s03_n70_n64,s13_n20_n6,s15_3893_up,3,2001,s08_1695_1855,s5_40_50,Passenger Car,s02_10_20,Not Deployed,s3_170_180,3,Male,s1_below_70,s05_151_159,281,215,s2_4_5,1
9377,s03_1035_1335,s15_17_25,s13_n20_n6,s08_577_717,5,2004,s04_1135_1335,s4_30_40,Passenger Car,s07_60_70,Not Deployed,s4_180_up,3,Male,s4_130_up,s03_141_145,264,65,s1_below_4,1
9453,s03_1035_1335,s12_0_3,s13_n20_n6,s02_113_167,5,2004,s05_1335_1455,s4_30_40,Passenger Car,s06_50_60,Not Deployed,s3_170_180,3,Male,s2_70_100,s04_145_151,262,135,s1_below_4,1
9517,s03_1035_1335,s13_3_13,s11_n38_n28,s06_366_468,2,2000,s09_1855_2075,s4_30_40,Passenger Car,s03_20_30,Deployed,s3_170_180,3,Male,s2_70_100,s04_145_151,256,125,s1_below_4,1
9558,s08_2075_2210,s12_0_3,s12_n28_n20,s08_577_717,3,2002,s06_1455_1575,s4_30_40,Truck (<=10000 lbs.),s03_20_30,Deployed,s3_170_180,3,Male,s1_below_70,s05_151_159,295,135,s2_4_5,1
9608,s03_1035_1335,s10_n16_n10,s13_n20_n6,s05_290_366,4,2003,s05_1335_1455,s4_30_40,Passenger Car,s04_30_40,Not Deployed,s3_170_180,3,Male,s2_70_100,s03_141_145,244,165,s1_below_4,1
9617,s05_1555_1675,s16_25_31,s12_n28_n20,s10_877_1099,2,2000,s10_2075_2255,s5_40_50,Passenger Car,s05_40_50,Deployed,s2_165_170,3,Male,s2_70_100,s05_151_159,275,85,s2_4_5,1
9659,s06_1675_1935,s11_n10_0,s11_n38_n28,s11_1099_1433,4,2007,s05_1335_1455,s4_30_40,Passenger Car,s03_20_30,Deployed,s4_180_up,3,Male,s2_70_100,s06_159_163,305,135,s2_4_5,1
9708,s04_1335_1555,s10_n16_n10,s08_n64_n54,s12_1433_1833,2,2000,s03_1010_1135,s6_50_60,Truck (<=6000 lbs.),s03_20_30,Deployed,s1_below_165,3,Male,s1_below_70,s05_151_159,265,155,s2_4_5,1
9805,s04_1335_1555,s12_0_3,s12_n28_n20,s13_1833_2554,4,2001,s05_1335_1455,s3_20_30,Passenger Car,s03_20_30,Deployed,s1_below_165,3,Female,s1_below_70,s04_145_151,263,155,s1_below_4,1
9877,s04_1335_1555,s12_0_3,s15_1_17,s03_167_230,3,2005,s04_1135_1335,s7_60_70,Truck (<=6000 lbs.),s06_50_60,Not Deployed,s2_165_170,3,Female,s2_70_100,s04_145_151,262,315,s1_below_4,1
9926,s03_1035_1335,s12_0_3,s12_n28_n20,s01_below_113,5,2004,s08_1695_1855,s5_40_50,Passenger Car,s03_20_30,Deployed,s1_below_165,3,Female,s1_below_70,s04_145_151,257,135,s1_below_4,1
10003,s03_1035_1335,s13_3_13,s10_n48_n38,s10_877_1099,2,2003,s06_1455_1575,s4_30_40,Passenger Car,s06_50_60,Deployed,s1_below_165,3,Female,s1_below_70,s04_145_151,253,125,s1_below_4,1
10198,s04_1335_1555,s12_0_3,s11_n38_n28,s11_1099_1433,2,2000,s06_1455_1575,s3_20_30,Passenger Car,s05_40_50,Deployed,s3_170_180,3,Male,s3_100_130,s05_151_159,277,135,s2_4_5,1
10267,s05_1555_1675,s12_0_3,s12_n28_n20,s04_230_290,3,2006,s04_1135_1335,s4_30_40,Passenger Car,s04_30_40,Deployed,s1_below_165,3,Female,s2_70_100,s05_151_159,288,125,s2_4_5,1
10383,s04_1335_1555,s15_17_25,s13_n20_n6,s10_877_1099,2,2003,s09_1855_2075,s3_20_30,Passenger Car,s04_30_40,Not Deployed,s3_170_180,3,Male,s4_130_up,s05_151_159,272,85,s2_4_5,1
10402,s07_1935_2075,s11_n10_0,s13_n20_n6,s01_below_113,2,2004,s07_1575_1695,s3_20_30,Truck (<=10000 lbs.),s05_40_50,Deployed,s3_170_180,3,Female,s1_below_70,s07_163_169,282,145,s2_4_5,1
10436,s06_1675_1935,s07_n41_n33,s13_n20_n6,s08_577_717,2,2004,s13_2535_2645,s6_50_60,Truck (<=10000 lbs.),s07_60_70,Deployed,s4_180_up,3,Male,s2_70_100,s06_159_163,333,195,s3_5_6,1
10451,s08_2075_2210,s13_3_13,s08_n64_n54,s12_1433_1833,2,2003,s07_1575_1695,s6_50_60,Truck (<=6000 lbs.),s04_30_40,Deployed,s4_180_up,3,Male,s2_70_100,s05_151_159,287,125,s2_4_5,1
10533,s04_1335_1555,s10_n16_n10,s12_n28_n20,s06_366_468,2,2003,s05_1335_1455,s6_50_60,Truck (<=6000 lbs.),s06_50_60,Deployed,s2_165_170,3,Female,s3_100_130,s04_145_151,262,165,s1_below_4,1
10618,s05_1555_1675,s11_n10_0,s12_n28_n20,s11_1099_1433,4,2006,s09_1855_2075,s4_30_40,Passenger Car,s03_20_30,Deployed,s1_below_165,3,Female,s3_100_130,s05_151_159,281,75,s2_4_5,1
10649,s06_1675_1935,s17_31_44,s17_28_39,s06_366_468,5,2001,s05_1335_1455,s5_40_50,Truck (<=6000 lbs.),s05_40_50,Not Deployed,s4_180_up,3,Male,s4_130_up,s07_163_169,353,225,s3_5_6,1
10737,s06_1675_1935,s14_13_17,s13_n20_n6,s07_468_577,2,2001,s06_1455_1575,s2_10_20,Passenger Car,s04_30_40,Not Deployed,s4_180_up,3,Female,s1_below_70,s05_151_159,291,75,s2_4_5,1
10781,s06_1675_1935,s11_n10_0,s13_n20_n6,s06_366_468,5,2003,s07_1575_1695,s5_40_50,Truck (<=6000 lbs.),s03_20_30,Deployed,s2_165_170,3,Male,s1_below_70,s05_151_159,265,165,s2_4_5,1
10814,s03_1035_1335,s08_n33_n26,s13_n20_n6,s05_290_366,2,2004,s06_1455_1575,s6_50_60,Passenger Car,s03_20_30,Not Deployed,s3_170_180,3,Female,s1_below_70,s03_141_145,248,205,s1_below_4,1
10831,s03_1035_1335,s13_3_13,s11_n38_n28,s07_468_577,2,2001,s04_1135_1335,s5_40_50,Passenger Car,s04_30_40,Deployed,s1_below_165,3,Female,s1_below_70,s03_141_145,250,125,s1_below_4,1
