id,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT
2627,2270,20,-35,1204,5,2001,1390,50,Truck (<=10000 lbs.),37,Deployed,191,1,Male,118,167,330,105,5.511
2628,1250,0,-16,155,4,2002,1430,60,Passenger Car,39,Deployed,165,2,Male,91,148,255,135,3.774
2629,1430,0,-15,137,4,2006,1250,60,Passenger Car,48,Deployed,180,1,Female,59,155,280,135,4.34
2630,1650,2,-12,102,2,2008,1470,30,Passenger Car,44,Not Deployed,150,0,Female,54,157,281,125,4.4117
2631,2130,3,-15,151,5,2009,1890,35,Truck (<=10000 lbs.),28,Deployed,170,0,Female,72,160,278,125,4.448
2632,1470,3,22,705,4,2002,1940,65,Passenger Car,52,Not Deployed,180,1,Male,89,157,265,315,4.1605
2633,2260,10,-18,366,4,2001,2420,30,Truck (<=10000 lbs.),26,Deployed,170,1,Female,66,168,295,105,4.956
2634,2420,-16,-10,605,3,2008,2260,30,Truck (<=10000 lbs.),57,Not Deployed,170,1,Male,82,170,295,195,5.015
2635,1150,27,-5,388,4,2003,1860,40,Passenger Car,76,Deployed,165,5,Female,64,146,231,55,3.3726
2636,1690,-13,-5,412,4,2006,1540,60,Passenger Car,25,Deployed,180,0,Male,70,177,279,205,4.9383
2637,1540,-10,-18,317,4,2001,1380,35,Passenger Car,30,Deployed,168,1,Female,52,155,272,165,4.216
2638,1160,38,0,2417,2,2004,1970,40,Passenger Car,26,Deployed,152,1,Female,59,147,260,45,3.822
2639,1760,-24,29,1158,4,2008,1500,60,Truck (<=6000 lbs.),30,Not Deployed,170,1,Male,68,160,242,305,3.872
2640,2110,0,-36,1634,2,2004,1880,35,Truck (<=10000 lbs.),31,Deployed,180,3,Male,82,168,364,135,6.1152
2641,2450,15,-12,678,3,2004,2120,35,Truck (<=10000 lbs.),20,Deployed,173,1,Male,68,170,352,85,5.984
2642,1660,-6,-17,182,4,2005,1600,35,Passenger Car,29,Not Deployed,180,0,Male,79,153,275,155,4.2075
2643,1280,18,-18,112,3,2008,1550,30,Passenger Car,24,Deployed,183,1,Male,86,151,270,125,4.077
2644,2770,-14,-8,500,4,2004,2390,35,Truck (<=10000 lbs.),38,Not Deployed,175,1,Male,64,175,360,195,6.3
2645,2390,0,-61,3213,4,2006,2240,60,Truck (<=10000 lbs.),22,Deployed,165,3,Female,77,172,353,135,6.0716
